SensorDataID,Timestamp,EquipmentID,TimeID,SensorID,LocationID,Temperature,Vibration,Pressure,Voltage
SD_0001,2024-05-08,EQT_008,109,SNS_006,LOC_02,94.37454896938424,1.0396990818900251,1.426054544069863,247.0272091756114
SD_0002,2024-02-27,EQT_018,152,SNS_003,LOC_05,73.43960233306815,3.9965421901422435,2.3806321455823696,200.0894091492765
SD_0003,2024-05-01,EQT_012,17,SNS_006,LOC_05,60.423923210044926,4.856925575870974,2.4292425859597895,177.71235285917112
SD_0004,2024-01-01,EQT_015,133,SNS_010,LOC_06,77.71037800762126,3.7133512084706903,2.4178040125599853,200.35670776813095
SD_0005,2024-08-26,EQT_009,148,SNS_010,LOC_04,68.30995377120183,3.456909826097026,1.9110940077683056,236.95623261799759
SD_0006,2024-10-16,EQT_013,277,SNS_005,LOC_05,65.42494716684459,2.4449283557340906,1.0025827696995127,193.0938743939737
SD_0007,2024-04-05,EQT_015,232,SNS_002,LOC_03,75.9992517221724,5.3918442967085545,1.485737507160414,242.4588083631908
SD_0008,2024-05-05,EQT_010,314,SNS_009,LOC_02,83.6575273300959,8.738538566432482,1.562246077176419,238.2221342164288
SD_0009,2024-04-27,EQT_016,228,SNS_008,LOC_05,66.64005158403717,7.557247776102296,2.314384289545356,222.86554363094137
SD_0010,2024-02-17,EQT_007,139,SNS_003,LOC_03,87.74388087331718,6.30725377597393,1.821314451791702,210.6045203447946
SD_0011,2024-03-29,EQT_017,211,SNS_008,LOC_03,65.10386040997184,6.350818237862082,2.845200254065209,220.82890938725714
SD_0012,2024-08-24,EQT_007,28,SNS_009,LOC_03,72.56096778674537,4.73471371148175,2.733819168930379,229.16631028210153
SD_0013,2024-09-28,EQT_014,51,SNS_003,LOC_06,78.86307881780868,1.3909736414259193,2.8368492231104314,226.8771469708795
SD_0014,2024-07-07,EQT_015,261,SNS_003,LOC_06,71.12100791315942,4.2611366210786015,1.541743503178389,246.09489059905158
SD_0015,2024-07-10,EQT_007,261,SNS_002,LOC_03,57.23997661061463,3.0614446253356995,2.2454456060707857,216.09846325260256
SD_0016,2024-03-09,EQT_009,350,SNS_008,LOC_06,84.27407491788804,5.309393498690647,1.761237955531065,200.48735539565504
SD_0017,2024-10-04,EQT_019,352,SNS_010,LOC_04,68.76535659643973,7.466429407877509,2.163935909116645,197.84078939301813
SD_0018,2024-12-14,EQT_016,8,SNS_001,LOC_03,82.44898449393693,8.94681918049692,1.59719312862802,194.84063097911275
SD_0019,2024-09-03,EQT_008,320,SNS_008,LOC_04,62.35855864972338,5.129242062361064,2.6130781837757278,222.9441838380341
SD_0020,2024-03-16,EQT_018,138,SNS_007,LOC_04,64.06563417903588,1.6656873256452887,1.6065342248980572,216.48446948916313
SD_0021,2024-06-02,EQT_018,38,SNS_007,LOC_03,83.62433409555356,5.125352100323957,1.0263804876644511,220.4898190434141
SD_0022,2024-05-23,EQT_020,111,SNS_003,LOC_02,78.40508092742023,5.179712325826764,3.016890407871581,211.94410688790725
SD_0023,2024-03-26,EQT_007,220,SNS_001,LOC_03,70.61414289315323,6.3576877410523975,2.221248339783965,203.34749711915984
SD_0024,2024-07-03,EQT_003,337,SNS_004,LOC_03,78.55031598170838,4.961608899198339,1.4654366177909361,229.2150382694118
SD_0025,2024-10-11,EQT_018,223,SNS_009,LOC_06,65.45960864455643,5.1330365479213595,1.9188644424654315,183.05404150230623
SD_0026,2024-08-07,EQT_010,136,SNS_005,LOC_03,76.1025911748891,3.735878484225882,1.7115714526415577,207.97606648369396
SD_0027,2024-03-09,EQT_007,256,SNS_001,LOC_02,76.28553923390065,4.376196033782242,2.00287072340222,231.79735239952586
SD_0028,2024-02-16,EQT_017,360,SNS_005,LOC_06,71.26218394808971,6.026464853630365,2.40139041795741,206.48742359945444
SD_0029,2024-04-03,EQT_014,329,SNS_008,LOC_01,66.64714294409242,0.983032567712999,2.3228895464518153,225.87513129697746
SD_0030,2024-08-25,EQT_003,49,SNS_008,LOC_01,75.70248578214793,4.365422868672351,2.126864510254257,207.99611356695303
SD_0031,2024-07-22,EQT_012,292,SNS_005,LOC_04,74.45018856699102,6.375799935991821,2.0026265566547545,213.16232689254568
SD_0032,2024-08-05,EQT_013,324,SNS_009,LOC_04,70.3417792108039,8.281457882011068,2.5393353787640054,228.62380773707196
SD_0033,2024-12-06,EQT_002,78,SNS_001,LOC_02,64.6618552981925,4.203327111739526,1.0372708908315533,200.832275244053
SD_0034,2024-02-08,EQT_003,105,SNS_004,LOC_05,75.12477049335467,7.370739561647575,1.625533653369781,231.1791749511452
SD_0035,2024-04-09,EQT_005,169,SNS_003,LOC_01,70.36677635163394,8.380047690835887,1.5106685833719162,220.6888073867165
SD_0036,2024-10-15,EQT_011,217,SNS_002,LOC_04,64.65342379563067,4.229235197874644,2.503128886501446,238.84658301068544
SD_0037,2024-09-10,EQT_008,119,SNS_008,LOC_01,75.43529810758112,3.883582934336361,1.6304536921607644,223.1222495747011
SD_0038,2024-08-09,EQT_012,190,SNS_007,LOC_02,91.08305472055386,4.635851059816147,1.3570223038547757,203.9577006928098
SD_0039,2024-12-22,EQT_007,255,SNS_009,LOC_02,71.33172334092922,4.836096429873809,2.2746637730584665,245.91991632911854
SD_0040,2024-01-23,EQT_015,266,SNS_002,LOC_05,89.97776541242023,7.181645335711039,1.5456262095451374,205.21085582796763
SD_0041,2024-09-06,EQT_017,149,SNS_004,LOC_05,96.14331714730096,3.4525496409808083,1.8246367587458212,216.59265873799086
SD_0042,2024-01-10,EQT_004,164,SNS_006,LOC_06,65.46581097622325,8.076130872210939,3.190571950440849,234.3611339044266
SD_0043,2024-09-02,EQT_013,140,SNS_003,LOC_02,75.09044208198965,3.398484894547564,2.3935692770017365,191.80108337974542
SD_0044,2024-11-20,EQT_018,347,SNS_008,LOC_04,96.0373191781631,2.471150160764873,1.8944796962926627,241.5950347017081
SD_0045,2024-04-09,EQT_001,258,SNS_003,LOC_01,73.78920038590957,6.047554423117358,1.9394359370279084,202.7367356151053
SD_0046,2024-10-16,EQT_016,269,SNS_002,LOC_03,75.368121457654,7.461120857738413,2.453743793110736,213.17500870243643
SD_0047,2024-06-28,EQT_013,181,SNS_003,LOC_05,58.29994525625108,5.357310962025826,2.3314352150523154,224.33286856296513
SD_0048,2024-08-10,EQT_010,160,SNS_006,LOC_03,69.68338099680332,5.870168795932547,2.0377997447254685,219.374412158719
SD_0049,2024-09-06,EQT_012,351,SNS_002,LOC_04,80.55588684668938,8.908594476050624,2.051779971119712,231.8376408767568
SD_0050,2024-05-26,EQT_002,288,SNS_008,LOC_05,99.2928264295125,7.489305563070602,1.2600757597810142,195.98788643543423
SD_0051,2024-04-05,EQT_003,288,SNS_001,LOC_03,73.03993166528309,5.061850835564998,1.1549947249655317,230.91177030659077
SD_0052,2024-09-13,EQT_010,226,SNS_007,LOC_04,58.37373677748645,4.137706233636124,1.9115888621132477,232.10863581660294
SD_0053,2024-11-20,EQT_002,11,SNS_002,LOC_01,60.947508092266915,7.190117732962772,1.6833574073269277,235.43838743868838
SD_0054,2024-01-04,EQT_013,10,SNS_010,LOC_04,74.64210314061704,6.658567826851773,2.2930395171701816,196.15508842050383
SD_0055,2024-01-16,EQT_013,271,SNS_006,LOC_06,86.7720679805225,5.837153365320166,2.098589871902813,197.96597149256468
SD_0056,2024-10-06,EQT_018,273,SNS_002,LOC_05,81.37353682875396,4.3459726280130235,1.61361280325281,214.86436525512232
SD_0057,2024-12-01,EQT_003,183,SNS_002,LOC_02,79.60255863510126,4.8472207274663335,2.081599229748179,199.5876132804595
SD_0058,2024-09-03,EQT_007,153,SNS_010,LOC_01,88.09144386917596,4.7049608707638875,1.7908836072225385,192.94048150878245
SD_0059,2024-09-14,EQT_014,315,SNS_008,LOC_03,67.79770912481048,4.37926243283741,3.0333006890070147,214.2180391416825
SD_0060,2024-06-08,EQT_020,334,SNS_002,LOC_05,75.19094719957566,3.7977037268080345,2.1931211494814784,223.51137042186647
SD_0061,2024-12-05,EQT_017,124,SNS_007,LOC_02,69.79617879797604,5.530397271896604,1.2196965064835357,261.98469295441987
SD_0062,2024-05-31,EQT_012,114,SNS_003,LOC_04,72.28544264547926,3.7073694084613122,2.9102575501097907,228.23012731068536
SD_0063,2024-06-26,EQT_016,278,SNS_008,LOC_02,64.93730645674515,5.354758341828935,1.683425498021375,246.28404999849727
SD_0064,2024-06-11,EQT_012,213,SNS_007,LOC_05,71.56023928566204,0.8002535355619065,1.5126315046099155,219.33773370439636
