TimeID,Timestamp,Hour,Day,Month,Year,Weekday
1,2024-01-01,7,1,1,2024,Monday
2,2024-01-02,20,2,1,2024,Tuesday
3,2024-01-03,15,3,1,2024,Wednesday
4,2024-01-04,12,4,1,2024,Thursday
5,2024-01-05,17,5,1,2024,Friday
6,2024-01-06,14,6,1,2024,Saturday
7,2024-01-07,20,7,1,2024,Sunday
8,2024-01-08,23,8,1,2024,Monday
9,2024-01-09,12,9,1,2024,Tuesday
10,2024-01-10,8,10,1,2024,Wednesday
11,2024-01-11,14,11,1,2024,Thursday
12,2024-01-12,12,12,1,2024,Friday
13,2024-01-13,0,13,1,2024,Saturday
14,2024-01-14,6,14,1,2024,Sunday
15,2024-01-15,8,15,1,2024,Monday
16,2024-01-16,23,16,1,2024,Tuesday
17,2024-01-17,0,17,1,2024,Wednesday
18,2024-01-18,11,18,1,2024,Thursday
19,2024-01-19,7,19,1,2024,Friday
20,2024-01-20,23,20,1,2024,Saturday
21,2024-01-21,10,21,1,2024,Sunday
22,2024-01-22,18,22,1,2024,Monday
23,2024-01-23,16,23,1,2024,Tuesday
24,2024-01-24,7,24,1,2024,Wednesday
25,2024-01-25,2,25,1,2024,Thursday
26,2024-01-26,2,26,1,2024,Friday
27,2024-01-27,0,27,1,2024,Saturday
28,2024-01-28,4,28,1,2024,Sunday
29,2024-01-29,9,29,1,2024,Monday
30,2024-01-30,6,30,1,2024,Tuesday
31,2024-01-31,8,31,1,2024,Wednesday
32,2024-02-01,6,1,2,2024,Thursday
33,2024-02-02,8,2,2,2024,Friday
34,2024-02-03,7,3,2,2024,Saturday
35,2024-02-04,11,4,2,2024,Sunday
36,2024-02-05,1,5,2,2024,Monday
37,2024-02-06,0,6,2,2024,Tuesday
38,2024-02-07,15,7,2,2024,Wednesday
39,2024-02-08,22,8,2,2024,Thursday
40,2024-02-09,22,9,2,2024,Friday
41,2024-02-10,23,10,2,2024,Saturday
42,2024-02-11,4,11,2,2024,Sunday
43,2024-02-12,2,12,2,2024,Monday
44,2024-02-13,11,13,2,2024,Tuesday
45,2024-02-14,7,14,2,2024,Wednesday
46,2024-02-15,21,15,2,2024,Thursday
47,2024-02-16,2,16,2,2024,Friday
48,2024-02-17,0,17,2,2024,Saturday
49,2024-02-18,2,18,2,2024,Sunday
50,2024-02-19,4,19,2,2024,Monday
51,2024-02-20,14,20,2,2024,Tuesday
52,2024-02-21,13,21,2,2024,Wednesday
53,2024-02-22,2,22,2,2024,Thursday
54,2024-02-23,0,23,2,2024,Friday
55,2024-02-24,4,24,2,2024,Saturday
56,2024-02-25,22,25,2,2024,Sunday
57,2024-02-26,13,26,2,2024,Monday
58,2024-02-27,6,27,2,2024,Tuesday
59,2024-02-28,8,28,2,2024,Wednesday
60,2024-02-29,14,29,2,2024,Thursday
61,2024-03-01,14,1,3,2024,Friday
62,2024-03-02,9,2,3,2024,Saturday
63,2024-03-03,12,3,3,2024,Sunday
64,2024-03-04,18,4,3,2024,Monday
65,2024-03-05,6,5,3,2024,Tuesday
66,2024-03-06,16,6,3,2024,Wednesday
67,2024-03-07,19,7,3,2024,Thursday
68,2024-03-08,3,8,3,2024,Friday
69,2024-03-09,4,9,3,2024,Saturday
70,2024-03-10,22,10,3,2024,Sunday
71,2024-03-11,6,11,3,2024,Monday
72,2024-03-12,12,12,3,2024,Tuesday
73,2024-03-13,14,13,3,2024,Wednesday
74,2024-03-14,10,14,3,2024,Thursday
75,2024-03-15,3,15,3,2024,Friday
76,2024-03-16,12,16,3,2024,Saturday
77,2024-03-17,6,17,3,2024,Sunday
78,2024-03-18,18,18,3,2024,Monday
79,2024-03-19,21,19,3,2024,Tuesday
80,2024-03-20,1,20,3,2024,Wednesday
81,2024-03-21,9,21,3,2024,Thursday
82,2024-03-22,12,22,3,2024,Friday
83,2024-03-23,20,23,3,2024,Saturday
84,2024-03-24,5,24,3,2024,Sunday
85,2024-03-25,11,25,3,2024,Monday
86,2024-03-26,11,26,3,2024,Tuesday
87,2024-03-27,19,27,3,2024,Wednesday
88,2024-03-28,10,28,3,2024,Thursday
89,2024-03-29,22,29,3,2024,Friday
90,2024-03-30,6,30,3,2024,Saturday
91,2024-03-31,0,31,3,2024,Sunday
92,2024-04-01,0,1,4,2024,Monday
93,2024-04-02,19,2,4,2024,Tuesday
94,2024-04-03,12,3,4,2024,Wednesday
95,2024-04-04,8,4,4,2024,Thursday
96,2024-04-05,2,5,4,2024,Friday
97,2024-04-06,6,6,4,2024,Saturday
98,2024-04-07,5,7,4,2024,Sunday
99,2024-04-08,7,8,4,2024,Monday
100,2024-04-09,8,9,4,2024,Tuesday
101,2024-04-10,4,10,4,2024,Wednesday
102,2024-04-11,0,11,4,2024,Thursday
103,2024-04-12,18,12,4,2024,Friday
104,2024-04-13,9,13,4,2024,Saturday
105,2024-04-14,11,14,4,2024,Sunday
106,2024-04-15,23,15,4,2024,Monday
107,2024-04-16,14,16,4,2024,Tuesday
108,2024-04-17,21,17,4,2024,Wednesday
109,2024-04-18,23,18,4,2024,Thursday
110,2024-04-19,8,19,4,2024,Friday
111,2024-04-20,19,20,4,2024,Saturday
112,2024-04-21,16,21,4,2024,Sunday
113,2024-04-22,16,22,4,2024,Monday
114,2024-04-23,19,23,4,2024,Tuesday
115,2024-04-24,11,24,4,2024,Wednesday
116,2024-04-25,6,25,4,2024,Thursday
117,2024-04-26,1,26,4,2024,Friday
118,2024-04-27,2,27,4,2024,Saturday
119,2024-04-28,16,28,4,2024,Sunday
120,2024-04-29,4,29,4,2024,Monday
121,2024-04-30,16,30,4,2024,Tuesday
122,2024-05-01,23,1,5,2024,Wednesday
123,2024-05-02,16,2,5,2024,Thursday
124,2024-05-03,16,3,5,2024,Friday
125,2024-05-04,1,4,5,2024,Saturday
126,2024-05-05,1,5,5,2024,Sunday
127,2024-05-06,21,6,5,2024,Monday
128,2024-05-07,22,7,5,2024,Tuesday
129,2024-05-08,4,8,5,2024,Wednesday
130,2024-05-09,0,9,5,2024,Thursday
131,2024-05-10,0,10,5,2024,Friday
132,2024-05-11,18,11,5,2024,Saturday
133,2024-05-12,1,12,5,2024,Sunday
134,2024-05-13,20,13,5,2024,Monday
135,2024-05-14,11,14,5,2024,Tuesday
136,2024-05-15,5,15,5,2024,Wednesday
137,2024-05-16,22,16,5,2024,Thursday
138,2024-05-17,3,17,5,2024,Friday
139,2024-05-18,22,18,5,2024,Saturday
140,2024-05-19,10,19,5,2024,Sunday
141,2024-05-20,23,20,5,2024,Monday
142,2024-05-21,16,21,5,2024,Tuesday
143,2024-05-22,5,22,5,2024,Wednesday
144,2024-05-23,23,23,5,2024,Thursday
145,2024-05-24,4,24,5,2024,Friday
146,2024-05-25,19,25,5,2024,Saturday
147,2024-05-26,1,26,5,2024,Sunday
148,2024-05-27,5,27,5,2024,Monday
149,2024-05-28,21,28,5,2024,Tuesday
150,2024-05-29,10,29,5,2024,Wednesday
151,2024-05-30,15,30,5,2024,Thursday
152,2024-05-31,15,31,5,2024,Friday
153,2024-06-01,0,1,6,2024,Saturday
154,2024-06-02,8,2,6,2024,Sunday
155,2024-06-03,5,3,6,2024,Monday
156,2024-06-04,15,4,6,2024,Tuesday
157,2024-06-05,2,5,6,2024,Wednesday
158,2024-06-06,19,6,6,2024,Thursday
159,2024-06-07,3,7,6,2024,Friday
160,2024-06-08,18,8,6,2024,Saturday
161,2024-06-09,2,9,6,2024,Sunday
162,2024-06-10,18,10,6,2024,Monday
163,2024-06-11,19,11,6,2024,Tuesday
164,2024-06-12,6,12,6,2024,Wednesday
165,2024-06-13,19,13,6,2024,Thursday
166,2024-06-14,8,14,6,2024,Friday
167,2024-06-15,0,15,6,2024,Saturday
168,2024-06-16,7,16,6,2024,Sunday
169,2024-06-17,6,17,6,2024,Monday
170,2024-06-18,17,18,6,2024,Tuesday
171,2024-06-19,7,19,6,2024,Wednesday
172,2024-06-20,0,20,6,2024,Thursday
173,2024-06-21,10,21,6,2024,Friday
174,2024-06-22,17,22,6,2024,Saturday
175,2024-06-23,22,23,6,2024,Sunday
176,2024-06-24,9,24,6,2024,Monday
177,2024-06-25,2,25,6,2024,Tuesday
178,2024-06-26,6,26,6,2024,Wednesday
179,2024-06-27,15,27,6,2024,Thursday
180,2024-06-28,15,28,6,2024,Friday
181,2024-06-29,19,29,6,2024,Saturday
182,2024-06-30,16,30,6,2024,Sunday
183,2024-07-01,1,1,7,2024,Monday
184,2024-07-02,0,2,7,2024,Tuesday
185,2024-07-03,15,3,7,2024,Wednesday
186,2024-07-04,11,4,7,2024,Thursday
187,2024-07-05,4,5,7,2024,Friday
188,2024-07-06,4,6,7,2024,Saturday
189,2024-07-07,22,7,7,2024,Sunday
190,2024-07-08,8,8,7,2024,Monday
191,2024-07-09,8,9,7,2024,Tuesday
192,2024-07-10,2,10,7,2024,Wednesday
193,2024-07-11,18,11,7,2024,Thursday
194,2024-07-12,15,12,7,2024,Friday
195,2024-07-13,15,13,7,2024,Saturday
196,2024-07-14,2,14,7,2024,Sunday
197,2024-07-15,19,15,7,2024,Monday
198,2024-07-16,23,16,7,2024,Tuesday
199,2024-07-17,21,17,7,2024,Wednesday
200,2024-07-18,23,18,7,2024,Thursday
201,2024-07-19,0,19,7,2024,Friday
202,2024-07-20,23,20,7,2024,Saturday
203,2024-07-21,19,21,7,2024,Sunday
204,2024-07-22,10,22,7,2024,Monday
205,2024-07-23,16,23,7,2024,Tuesday
206,2024-07-24,7,24,7,2024,Wednesday
207,2024-07-25,3,25,7,2024,Thursday
208,2024-07-26,5,26,7,2024,Friday
209,2024-07-27,7,27,7,2024,Saturday
210,2024-07-28,19,28,7,2024,Sunday
211,2024-07-29,2,29,7,2024,Monday
212,2024-07-30,15,30,7,2024,Tuesday
213,2024-07-31,2,31,7,2024,Wednesday
214,2024-08-01,17,1,8,2024,Thursday
215,2024-08-02,13,2,8,2024,Friday
216,2024-08-03,17,3,8,2024,Saturday
217,2024-08-04,1,4,8,2024,Sunday
218,2024-08-05,21,5,8,2024,Monday
219,2024-08-06,2,6,8,2024,Tuesday
220,2024-08-07,15,7,8,2024,Wednesday
221,2024-08-08,8,8,8,2024,Thursday
222,2024-08-09,3,9,8,2024,Friday
223,2024-08-10,0,10,8,2024,Saturday
224,2024-08-11,3,11,8,2024,Sunday
225,2024-08-12,0,12,8,2024,Monday
226,2024-08-13,13,13,8,2024,Tuesday
