EquipmentID,EquipmentType,Manufacturer,InstallationDate,IsCritical
EQT_001,Motor,Siemens,2020-02-16,False
EQT_002,Conveyor,Bosch,2021-10-01,False
EQT_003,Pump,Honeywell,2019-07-19,False
EQT_004,Pump,Bosch,2020-06-16,False
EQT_005,Motor,Honeywell,2021-09-25,True
EQT_006,Conveyor,Honeywell,2018-04-02,True
EQT_007,Motor,GE,2021-10-22,False
EQT_008,Motor,Bosch,2020-08-13,False
EQT_009,Compressor,GE,2022-01-18,False
EQT_010,Compressor,Bosch,2021-12-22,False
EQT_011,Compressor,Bosch,2019-05-24,False
EQT_012,Pump,GE,2020-02-15,False
EQT_013,Conveyor,GE,2018-02-04,False
EQT_014,Conveyor,Bosch,2018-07-25,False
EQT_015,Conveyor,Siemens,2021-01-09,True
EQT_016,Conveyor,Honeywell,2022-05-05,False
EQT_017,Compressor,GE,2021-11-12,True
EQT_018,Pump,Honeywell,2020-10-22,False
EQT_019,Pump,Siemens,2020-10-18,False
EQT_020,Compressor,Siemens,2021-11-14,True
